"article","indiv","dpi","sample_type","val_total","val_sg","val_inf","lod_total","lod_sg","lod_inf","loq_total","loq_sg","loq_inf","tg_total","tg_sg","sample_grp","sample_rep","units_inf","animal_species","sex","age_class_stand","age_class_rep","age_years_rep","inoc_dose_total_pfu","inoc_dose_total_TCID","inoc_route","inoc_dose_units_rep","cell_line","viral_strain","units_total","units_sg","culture_assay"
"Baum et al. 2020","AB_34851",7,"Non-invasive","5.07304511328467","3.58898295444306",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34851",8,"Non-invasive","5.11048521403027","3.21275063991258",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34851",1,"Non-invasive","6.53888001011114","4.63020324419981",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34851",2,"Non-invasive","6.62031690825419","4.50975031015549",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34851",4,"Non-invasive","5.08783138020077","2.9996428670588",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34851",6,"Non-invasive","3.44976362313179","< LOD",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34851",7,"Non-invasive","< LOD","< LOD",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_34851",8,"Non-invasive","< LOD","< LOD",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Male","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37055",1,"Non-invasive","4.35357646754599","3.34468399511819",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37055",2,"Non-invasive","3.4028751290046","< LOD",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37055",4,"Non-invasive","3.19307633891834","< LOD",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37055",6,"Non-invasive","< LOD","< LOD",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37055",7,"Non-invasive","< LOD","< LOD",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37055",1,"Non-invasive","< LOD","< LOD",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37055",4,"Non-invasive","5.74315946008771","4.85399608949005",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37055",6,"Non-invasive","4.29706863565392","3.37031078790663",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37055",7,"Non-invasive","< LOD","< LOD",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37101",1,"Non-invasive","7.26147243967266","5.92813594361386",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37101",2,"Non-invasive","5.68933834674005","4.68697516776359",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37101",4,"Non-invasive","6.01294176693695","4.71666674089727",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37101",6,"Non-invasive","5.48627779804027","4.45377201134807",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37101",7,"Non-invasive","5.18604195296431","< LOD",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37101",8,"Non-invasive","5.44785840838171","3.02276318223623",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Nasal Sample","Nasal Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37101",1,"Non-invasive","5.99886861549225","4.45286553977049",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37101",2,"Non-invasive","6.73046006788446","5.3216345101501",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37101",4,"Non-invasive","3.9287825355996","< LOD",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37101",6,"Non-invasive","4.1682271479263","3.45667918748174",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37101",7,"Non-invasive","< LOD","< LOD",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_37101",8,"Non-invasive","3.84357818547702","< LOD",NA,"2.90308998699194","2.90308998699194",NA,"Unknown","Unknown",NA,"N","E","Oral Sample","Oral Swab",NA,"rhesus macaque","Female","Unknown","Unknown","2.6-5.9",1050000,1500000,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_12D068",1,"Non-invasive","5.47226631206176","< LOD",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","Nasopharyngeal Sample","Nasopharyngeal Swab",NA,"rhesus macaque","Male","Adult","Unknown","8.10951403148528",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_12D068",2,"Non-invasive","6.08937339323219","2.85598227723843",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","Nasopharyngeal Sample","Nasopharyngeal Swab",NA,"rhesus macaque","Male","Adult","Unknown","8.10951403148528",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_12D068",3,"Non-invasive","4.56219528596775","< LOD",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","Nasopharyngeal Sample","Nasopharyngeal Swab",NA,"rhesus macaque","Male","Adult","Unknown","8.10951403148528",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_12D068",4,"Non-invasive","5.00975037921745","< LOD",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","Nasopharyngeal Sample","Nasopharyngeal Swab",NA,"rhesus macaque","Male","Adult","Unknown","8.10951403148528",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_12D068",5,"Non-invasive","< LOD","< LOD",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","Nasopharyngeal Sample","Nasopharyngeal Swab",NA,"rhesus macaque","Male","Adult","Unknown","8.10951403148528",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_12D068",1,"Non-invasive","6.61877532319338","4.01174167494402",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","BAL","BAL",NA,"rhesus macaque","Male","Adult","Unknown","8.10951403148528",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_12D068",3,"Non-invasive","4.53771082266356","2.55938467957878",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","BAL","BAL",NA,"rhesus macaque","Male","Adult","Unknown","8.10951403148528",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_12D068",5,"Non-invasive","3.55343272832667","< LOD",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","BAL","BAL",NA,"rhesus macaque","Male","Adult","Unknown","8.10951403148528",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_AK71",1,"Non-invasive","5.94622130043391","2.94202046125882",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","Nasopharyngeal Sample","Nasopharyngeal Swab",NA,"rhesus macaque","Female","Adult","Unknown","15.9753593429158",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_AK71",2,"Non-invasive","7.56374146535324","5.0410451105243",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","Nasopharyngeal Sample","Nasopharyngeal Swab",NA,"rhesus macaque","Female","Adult","Unknown","15.9753593429158",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_AK71",3,"Non-invasive","7.28794497870926","4.72298746538574",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","Nasopharyngeal Sample","Nasopharyngeal Swab",NA,"rhesus macaque","Female","Adult","Unknown","15.9753593429158",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_AK71",4,"Non-invasive","6.2281127872624","3.80418715438165",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","Nasopharyngeal Sample","Nasopharyngeal Swab",NA,"rhesus macaque","Female","Adult","Unknown","15.9753593429158",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_AK71",5,"Non-invasive","< LOD","< LOD",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","Nasopharyngeal Sample","Nasopharyngeal Swab",NA,"rhesus macaque","Female","Adult","Unknown","15.9753593429158",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_AK71",1,"Non-invasive","5.19630056730107","2.75324207666553",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","BAL","BAL",NA,"rhesus macaque","Female","Adult","Unknown","15.9753593429158",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_AK71",3,"Non-invasive","5.41237569631237","3.29595723996651",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","BAL","BAL",NA,"rhesus macaque","Female","Adult","Unknown","15.9753593429158",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_AK71",5,"Non-invasive","4.3465045598054","2.63315928948776",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","BAL","BAL",NA,"rhesus macaque","Female","Adult","Unknown","15.9753593429158",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_AS40",1,"Non-invasive","5.59162937925643","2.65607663055914",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","Nasopharyngeal Sample","Nasopharyngeal Swab",NA,"rhesus macaque","Female","Adult","Unknown","13.7248459958932",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_AS40",2,"Non-invasive","7.45019905376594","4.81718511283702",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","Nasopharyngeal Sample","Nasopharyngeal Swab",NA,"rhesus macaque","Female","Adult","Unknown","13.7248459958932",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_AS40",3,"Non-invasive","7.06516501389396","4.70791492014448",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","Nasopharyngeal Sample","Nasopharyngeal Swab",NA,"rhesus macaque","Female","Adult","Unknown","13.7248459958932",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_AS40",4,"Non-invasive","5.70187007294741","2.70309783745852",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","Nasopharyngeal Sample","Nasopharyngeal Swab",NA,"rhesus macaque","Female","Adult","Unknown","13.7248459958932",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_AS40",5,"Non-invasive","4.95503317033389","< LOD",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","Nasopharyngeal Sample","Nasopharyngeal Swab",NA,"rhesus macaque","Female","Adult","Unknown","13.7248459958932",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_AS40",1,"Non-invasive","5.51750533800611","3.09896543441637",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","BAL","BAL",NA,"rhesus macaque","Female","Adult","Unknown","13.7248459958932",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_AS40",3,"Non-invasive","5.34430776472709","3.19276532165762",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","BAL","BAL",NA,"rhesus macaque","Female","Adult","Unknown","13.7248459958932",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
"Baum et al. 2020","AB_AS40",5,"Non-invasive","< LOD","< LOD",NA,"1.69897000433602","1.69897000433602",NA,"Unknown","Unknown",NA,"N","E","BAL","BAL",NA,"rhesus macaque","Female","Adult","Unknown","13.7248459958932",110000,157142.857142857,"IT, IN","pfu",NA,"SARS-CoV-2/human/USA/WA1/2020","log10 GE/mL","log10 SGE/mL",NA
