"","article","indiv","dpi","dpi_idx","sample_type","st_idx","sample_rep","val_total","pos_total","cens_total","val_sg","pos_sg","cens_sg","val_inf","pos_inf","lodq_sg","lodq_total","tg_total","tg_sg","tg_idx","cell_line","cell_idx","culture_assay","assay_idx","animal_species","sp_idx","age_class_stand","age_years_rep","age_class_rep","age_idx","sex","sex_idx","units_total","units_sg","units_inf","lod_total","loq_total","lod_sg","loq_sg","lod_inf","loq_inf","sample_grp","inoc_dose_total_pfu","inoc_dose_total_TCID","inoc_route","inoc_dose_units_rep","viral_strain","organ_system","log10_dose_pfu"
"11","Baum et al. 2020","AB_34851",1,1,"Non-invasive",0,"Nasal Swab","6.78747986855755",1,0,"5.4341761700054",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"12","Baum et al. 2020","AB_34851",2,2,"Non-invasive",0,"Nasal Swab","4.06481532418912",1,0,"3.03165734514512",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"13","Baum et al. 2020","AB_34851",4,2,"Non-invasive",0,"Nasal Swab","6.56092797426165",1,0,"4.6860588788161",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"14","Baum et al. 2020","AB_34851",6,2,"Non-invasive",0,"Nasal Swab","6.0068092105368",1,0,"3.69149283417701",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"15","Baum et al. 2020","AB_34851",7,2,"Non-invasive",0,"Nasal Swab","5.07304511328467",1,0,"3.58898295444306",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"16","Baum et al. 2020","AB_34851",8,2,"Non-invasive",0,"Nasal Swab","5.11048521403027",1,0,"3.21275063991258",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"17","Baum et al. 2020","AB_34851",1,3,"Non-invasive",0,"Oral Swab","6.53888001011114",1,0,"4.63020324419981",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"18","Baum et al. 2020","AB_34851",2,3,"Non-invasive",0,"Oral Swab","6.62031690825419",1,0,"4.50975031015549",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"19","Baum et al. 2020","AB_34851",4,3,"Non-invasive",0,"Oral Swab","5.08783138020077",1,0,"2.9996428670588",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"20","Baum et al. 2020","AB_34851",6,3,"Non-invasive",0,"Oral Swab","3.44976362313179",1,0,"-9",0,1,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"21","Baum et al. 2020","AB_34851",7,3,"Non-invasive",0,"Oral Swab","-9",0,1,"-9",0,1,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"22","Baum et al. 2020","AB_34851",8,3,"Non-invasive",0,"Oral Swab","-9",0,1,"-9",0,1,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"23","Baum et al. 2020","AB_37055",1,1,"Non-invasive",0,"Nasal Swab","4.35357646754599",1,0,"3.34468399511819",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"24","Baum et al. 2020","AB_37055",2,2,"Non-invasive",0,"Nasal Swab","3.4028751290046",1,0,"-9",0,1,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"25","Baum et al. 2020","AB_37055",4,2,"Non-invasive",0,"Nasal Swab","3.19307633891834",1,0,"-9",0,1,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"26","Baum et al. 2020","AB_37055",6,2,"Non-invasive",0,"Nasal Swab","-9",0,1,"-9",0,1,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"27","Baum et al. 2020","AB_37055",7,2,"Non-invasive",0,"Nasal Swab","-9",0,1,"-9",0,1,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"28","Baum et al. 2020","AB_37055",1,3,"Non-invasive",0,"Oral Swab","-9",0,1,"-9",0,1,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"29","Baum et al. 2020","AB_37055",4,3,"Non-invasive",0,"Oral Swab","5.74315946008771",1,0,"4.85399608949005",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"30","Baum et al. 2020","AB_37055",6,3,"Non-invasive",0,"Oral Swab","4.29706863565392",1,0,"3.37031078790663",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"31","Baum et al. 2020","AB_37055",7,3,"Non-invasive",0,"Oral Swab","-9",0,1,"-9",0,1,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"32","Baum et al. 2020","AB_37101",1,1,"Non-invasive",0,"Nasal Swab","7.26147243967266",1,0,"5.92813594361386",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"33","Baum et al. 2020","AB_37101",2,2,"Non-invasive",0,"Nasal Swab","5.68933834674005",1,0,"4.68697516776359",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"34","Baum et al. 2020","AB_37101",4,2,"Non-invasive",0,"Nasal Swab","6.01294176693695",1,0,"4.71666674089727",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"35","Baum et al. 2020","AB_37101",6,2,"Non-invasive",0,"Nasal Swab","5.48627779804027",1,0,"4.45377201134807",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"36","Baum et al. 2020","AB_37101",7,2,"Non-invasive",0,"Nasal Swab","5.18604195296431",1,0,"-9",0,1,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"37","Baum et al. 2020","AB_37101",8,2,"Non-invasive",0,"Nasal Swab","5.44785840838171",1,0,"3.02276318223623",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Nasal Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",6.02118929906994
"38","Baum et al. 2020","AB_37101",1,3,"Non-invasive",0,"Oral Swab","5.99886861549225",1,0,"4.45286553977049",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"39","Baum et al. 2020","AB_37101",2,3,"Non-invasive",0,"Oral Swab","6.73046006788446",1,0,"5.3216345101501",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"40","Baum et al. 2020","AB_37101",4,3,"Non-invasive",0,"Oral Swab","3.9287825355996",1,0,"-9",0,1,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"41","Baum et al. 2020","AB_37101",6,3,"Non-invasive",0,"Oral Swab","4.1682271479263",1,0,"3.45667918748174",1,0,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"42","Baum et al. 2020","AB_37101",7,3,"Non-invasive",0,"Oral Swab","-9",0,1,"-9",0,1,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"43","Baum et al. 2020","AB_37101",8,3,"Non-invasive",0,"Oral Swab","3.84357818547702",1,0,"-9",0,1,NA,NA,2.90308998699194,2.90308998699194,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Unknown","2.6-5.9","Unknown",-9,"Female",1,"log10 GE/mL","log10 SGE/mL",NA,"2.90308998699194","Unknown","2.90308998699194","Unknown",NA,NA,"Oral Sample",1050000,1500000,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","Other",6.02118929906994
"44","Baum et al. 2020","AB_12D068",1,1,"Non-invasive",0,"Nasopharyngeal Swab","5.47226631206176",1,0,"-9",0,1,NA,NA,1.69897000433602,1.69897000433602,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Adult","8.10951403148528","Unknown",2,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"1.69897000433602","Unknown","1.69897000433602","Unknown",NA,NA,"Nasopharyngeal Sample",110000,157142.857142857,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",5.04139268515823
"45","Baum et al. 2020","AB_12D068",2,2,"Non-invasive",0,"Nasopharyngeal Swab","6.08937339323219",1,0,"2.85598227723843",1,0,NA,NA,1.69897000433602,1.69897000433602,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Adult","8.10951403148528","Unknown",2,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"1.69897000433602","Unknown","1.69897000433602","Unknown",NA,NA,"Nasopharyngeal Sample",110000,157142.857142857,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",5.04139268515823
"46","Baum et al. 2020","AB_12D068",3,2,"Non-invasive",0,"Nasopharyngeal Swab","4.56219528596775",1,0,"-9",0,1,NA,NA,1.69897000433602,1.69897000433602,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Adult","8.10951403148528","Unknown",2,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"1.69897000433602","Unknown","1.69897000433602","Unknown",NA,NA,"Nasopharyngeal Sample",110000,157142.857142857,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",5.04139268515823
"47","Baum et al. 2020","AB_12D068",4,2,"Non-invasive",0,"Nasopharyngeal Swab","5.00975037921745",1,0,"-9",0,1,NA,NA,1.69897000433602,1.69897000433602,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Adult","8.10951403148528","Unknown",2,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"1.69897000433602","Unknown","1.69897000433602","Unknown",NA,NA,"Nasopharyngeal Sample",110000,157142.857142857,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",5.04139268515823
"48","Baum et al. 2020","AB_12D068",5,2,"Non-invasive",0,"Nasopharyngeal Swab","-9",0,1,"-9",0,1,NA,NA,1.69897000433602,1.69897000433602,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Adult","8.10951403148528","Unknown",2,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"1.69897000433602","Unknown","1.69897000433602","Unknown",NA,NA,"Nasopharyngeal Sample",110000,157142.857142857,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","URT",5.04139268515823
"49","Baum et al. 2020","AB_12D068",1,1,"Non-invasive",0,"BAL","6.61877532319338",1,0,"4.01174167494402",1,0,NA,NA,1.69897000433602,1.69897000433602,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Adult","8.10951403148528","Unknown",2,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"1.69897000433602","Unknown","1.69897000433602","Unknown",NA,NA,"BAL",110000,157142.857142857,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","LRT",5.04139268515823
"50","Baum et al. 2020","AB_12D068",3,2,"Non-invasive",0,"BAL","4.53771082266356",1,0,"2.55938467957878",1,0,NA,NA,1.69897000433602,1.69897000433602,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Adult","8.10951403148528","Unknown",2,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"1.69897000433602","Unknown","1.69897000433602","Unknown",NA,NA,"BAL",110000,157142.857142857,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","LRT",5.04139268515823
"51","Baum et al. 2020","AB_12D068",5,2,"Non-invasive",0,"BAL","3.55343272832667",1,0,"-9",0,1,NA,NA,1.69897000433602,1.69897000433602,"N","E",3,NA,NA,NA,NA,"rhesus macaque",1,"Adult","8.10951403148528","Unknown",2,"Male",0,"log10 GE/mL","log10 SGE/mL",NA,"1.69897000433602","Unknown","1.69897000433602","Unknown",NA,NA,"BAL",110000,157142.857142857,"IT, IN","pfu","SARS-CoV-2/human/USA/WA1/2020","LRT",5.04139268515823
