"Model","Predictors","ELPD Difference (SE)","ELPD (SE)","LOO - ELPD Difference (SE)","LOO - ELPD (SE)","LOO - Effective parameters (SE)","Max. Pareto k","F score","MCC","% correctly predicted (train)","% correctly predicted (test)","% correctly predicted (test, culture positive)","% correctly predicted (test, culture negative)"
"c5.2","T + DPI + ASSAY + AGE + DOSE","-11.86 (9.18)","-313.28 (11.06)","-10.32 (4.78)","-313.58 (11.1)","6.28 (0.36)",0.16,0.61,0.52,84.1,83.5,53.3,93.2
"c5.3","T + DPI + ASSAY + AGE + ST","-9.45 (7.96)","-310.87 (11.01)","-8.18 (4.19)","-311.43 (11.13)","6.49 (0.38)",0.17,0.63,0.54,84.3,84.2,55.8,93.3
"c5.4","T + DPI + ASSAY + AGE + SP","-10.83 (8.15)","-312.25 (10.94)","-9.82 (4.29)","-313.08 (11.07)","7.56 (0.44)",0.16,0.62,0.53,84.2,83.8,54.2,93.3
"c5.5","T + DPI + ASSAY + AGE + SEX","-10.02 (8.18)","-311.44 (10.99)","-9.01 (4.29)","-312.27 (11.07)","6.99 (0.39)",0.16,0.61,0.52,84.5,83.7,53.3,93.4
"c5.6","T + DPI + ASSAY + AGE + TG","-10.65 (8.79)","-312.07 (11.01)","-9.56 (4.62)","-312.82 (11.13)","6.99 (0.55)",0.41,0.62,0.54,84.3,84.1,54.5,93.6
"c6.1","T + DPI + ASSAY + AGE + ST + CELL","-10.58 (7.89)","-312.01 (11.14)","-9.22 (4.17)","-312.48 (11.25)","8.2 (0.47)",0.23,0.63,0.53,84.2,83.8,55.8,92.8
"c6.2","T + DPI + ASSAY + AGE + ST + DOSE","-10.03 (7.98)","-311.46 (11.3)","-8.65 (4.17)","-311.91 (11.39)","7.16 (0.41)",0.15,0.63,0.54,84.6,84.2,54.9,93.6
"c6.3","T + DPI + ASSAY + AGE + ST + SP","-9.89 (7.24)","-311.31 (11.13)","-8.99 (3.84)","-312.25 (11.31)","8.46 (0.49)",0.15,0.63,0.53,84.5,84,55.5,93.1
"c6.4","T + DPI + ASSAY + AGE + ST + SEX","-8.37 (6.83)","-309.8 (11.19)","-7.57 (3.62)","-310.83 (11.28)","7.91 (0.44)",0.16,0.62,0.53,84.4,83.9,55.2,93.1
"c6.5","T + DPI + ASSAY + AGE + ST + TG","-8.33 (7.55)","-309.76 (11.33)","-7.31 (4.01)","-310.57 (11.48)","7.67 (0.53)",0.34,0.63,0.54,84.5,84.1,55.8,93.2
"c7.1","T + DPI + ASSAY + AGE + ST + TG + CELL","-9.56 (7.57)","-310.99 (11.47)","-8.36 (4.02)","-311.62 (11.61)","9.38 (0.6)",0.33,0.63,0.53,84.5,83.8,56.4,92.6
"c7.2","T + DPI + ASSAY + AGE + ST + TG + DOSE","-8.94 (7.49)","-310.37 (11.51)","-7.84 (3.95)","-311.1 (11.61)","8.42 (0.58)",0.29,0.63,0.54,84.7,84.2,55.2,93.5
"c7.3","T + DPI + ASSAY + AGE + ST + TG + SP","-9.35 (7.08)","-310.77 (11.39)","-8.76 (3.78)","-312.02 (11.61)","9.63 (0.61)",0.3,0.63,0.54,84.7,84.3,55.5,93.5
"c7.4","T + DPI + ASSAY + AGE + ST + TG + SEX","-7.14 (6.32)","-308.56 (11.46)","-6.8 (3.39)","-310.06 (11.63)","9.26 (0.62)",0.34,0.63,0.54,84.7,84.3,56.1,93.3
"c8.1","T + DPI + ASSAY + AGE + ST + TG + SEX + CELL","-7.25 (5.87)","-308.67 (11.57)","-6.67 (3.13)","-309.93 (11.69)","10.71 (0.66)",0.27,0.65,0.56,85,84.6,57.7,93.3
"c8.2","T + DPI + ASSAY + AGE + ST + TG + SEX + DOSE","-7.92 (6.52)","-309.35 (11.57)","-7.34 (3.45)","-310.6 (11.7)","9.66 (0.64)",0.27,0.64,0.55,84.8,84.5,56.7,93.4
"c8.3","T + DPI + ASSAY + AGE + ST + TG + SEX + SP","-8.19 (5.88)","-309.62 (11.54)","-8.03 (3.19)","-311.29 (11.76)","10.95 (0.69)",0.37,0.64,0.55,84.9,84.4,56.1,93.5
"c9.1","T + DPI + ASSAY + AGE + ST + TG + SEX + CELL + DOSE","-2.88 (4.95)","-304.3 (11.8)","-2.43 (2.57)","-305.69 (11.95)","11.23 (0.83)",0.38,0.64,0.55,85.2,84.6,57.1,93.5
"c9.2","T + DPI + ASSAY + AGE + ST + TG + SEX + CELL + SP","-5.56 (3.71)","-306.99 (11.64)","-5.3 (2.01)","-308.56 (11.85)","12.51 (0.78)",0.29,0.65,0.56,85.2,84.8,58,93.4
"c10.1","T + DPI + ASSAY + AGE + ST + TG + SEX + CELL + DOSE + SP","0 (0)","-301.42 (11.91)","0 (0)","-303.26 (12.15)","13.23 (1)",0.37,0.65,0.56,85.7,84.9,57.7,93.6
